iter	RMSE
0	0.2189018785
1	0.2184156073
2	0.2179322254
3	0.2174326813
4	0.2171388571
5	0.2166341238
6	0.2162744202
7	0.2157739711
8	0.2154023152
9	0.2150497509
10	0.214760241
11	0.2144959888
12	0.2141256491
13	0.2138851221
14	0.2135994058
15	0.2134715744
16	0.2132580291
17	0.2129779507
18	0.2127802782
19	0.2126234307
20	0.2124383994
21	0.212300927
22	0.2120742747
23	0.2117687545
24	0.2115827966
25	0.2113391909
26	0.2111315667
27	0.2110022735
28	0.2108351293
29	0.2106510714
30	0.2104968181
31	0.2102973267
32	0.2101330003
33	0.2099269141
34	0.2097571357
35	0.2095586724
36	0.2094653333
37	0.2092487466
38	0.2091045279
39	0.2089793381
40	0.208882188
41	0.2087782039
42	0.208658221
43	0.208526654
44	0.2084388988
45	0.2082974595
46	0.2081785741
47	0.2080664724
48	0.2079179117
49	0.2077741818
50	0.2076578392
51	0.2075226821
52	0.2073892096
53	0.2073467128
54	0.2072911643
55	0.207195679
56	0.2071126733
57	0.2070150673
58	0.2069406146
59	0.206803416
60	0.2066578321
61	0.2065437657
62	0.2064591917
63	0.2063713168
64	0.2063102972
65	0.2062182468
66	0.2061262128
67	0.2060275495
68	0.2058892606
69	0.2058006143
70	0.205694579
71	0.2055735438
72	0.2054699928
73	0.2053668626
74	0.205288397
75	0.2051516818
76	0.204924282
77	0.2048444862
78	0.2047329367
79	0.2046163041
80	0.2045082656
81	0.2044443659
82	0.2043852973
83	0.2043033618
84	0.2042197403
85	0.2041161642
86	0.2040028249
87	0.2038969722
88	0.203821573
89	0.2037752169
90	0.2036963068
91	0.2036308141
92	0.2035461309
93	0.2034628309
94	0.2033984421
95	0.2032402555
96	0.2031683924
97	0.2031126572
98	0.2030710993
99	0.2030143664
100	0.2029622833
101	0.2029061693
102	0.2028179546
103	0.2027496094
104	0.2026693143
105	0.2026031022
106	0.2025240195
107	0.2024038205
108	0.2023418501
109	0.2022560017
110	0.2021818051
111	0.2020910613
112	0.2019741824
113	0.2019089574
114	0.2018452187
115	0.2017629448
116	0.2016425263
117	0.2015795909
118	0.2014441287
119	0.2013713626
120	0.2012998463
121	0.2012358193
122	0.2011562583
123	0.2010602176
