iter	Passed	Remaining
0	184	183983
1	215	107600
2	245	81727
3	275	68693
4	306	61085
5	337	55875
6	368	52340
7	400	49659
8	435	47918
9	467	46272
10	500	44976
11	537	44277
12	573	43546
13	620	43694
14	654	42952
15	687	42292
16	725	41938
17	756	41277
18	789	40752
19	820	40228
20	853	39780
21	885	39363
22	918	39020
23	951	38703
24	983	38370
25	1015	38057
26	1048	37769
27	1079	37464
28	1109	37135
29	1141	36896
30	1172	36648
31	1204	36448
32	1235	36206
33	1268	36042
34	1302	35920
35	1343	35968
36	1376	35834
37	1407	35637
38	1438	35437
39	1468	35251
40	1502	35135
41	1532	34966
42	1562	34778
43	1591	34578
44	1635	34713
45	1665	34541
46	1695	34383
47	1734	34391
48	1763	34230
49	1794	34092
50	1825	33963
51	1854	33808
52	1885	33688
53	1917	33592
54	1946	33441
55	1975	33304
56	2003	33151
57	2032	33003
58	2060	32863
59	2087	32706
60	2115	32569
61	2143	32426
62	2170	32282
63	2199	32166
64	2226	32024
65	2253	31890
66	2280	31758
67	2307	31631
68	2335	31515
69	2362	31386
70	2390	31273
71	2417	31158
72	2445	31050
73	2472	30942
74	2499	30829
75	2539	30871
76	2566	30769
77	2594	30673
78	2623	30588
79	2653	30512
80	2682	30430
81	2721	30462
82	2750	30392
83	2779	30314
84	2810	30249
85	2840	30187
86	2869	30117
87	2900	30059
88	2929	29986
89	2958	29913
90	2987	29846
91	3016	29770
92	3045	29703
93	3074	29634
94	3112	29652
95	3141	29581
96	3169	29506
97	3197	29430
98	3226	29362
99	3255	29295
100	3282	29218
101	3310	29147
102	3340	29094
103	3369	29028
104	3399	28975
105	3434	28964
106	3470	28965
107	3499	28907
108	3527	28837
109	3556	28776
110	3585	28718
111	3614	28656
112	3641	28584
113	3668	28513
114	3695	28436
115	3721	28361
116	3749	28294
117	3777	28233
118	3804	28167
119	3830	28093
120	3857	28020
121	3884	27953
122	3912	27893
123	3941	27841
124	3969	27784
125	3997	27731
126	4025	27674
127	4052	27608
128	4078	27537
129	4106	27481
130	4134	27425
131	4160	27356
132	4186	27290
133	4213	27229
134	4241	27174
135	4267	27112
136	4294	27049
137	4321	26995
138	4348	26938
139	4374	26873
140	4401	26812
141	4427	26751
142	4455	26700
143	4482	26644
144	4510	26595
145	4537	26543
146	4565	26492
147	4593	26442
148	4622	26400
149	4648	26342
150	4678	26302
151	4705	26250
152	4733	26202
153	4761	26159
154	4797	26156
155	4824	26100
156	4851	26051
157	4881	26011
158	4908	25962
159	4935	25912
160	4962	25860
161	4990	25814
162	5018	25768
163	5045	25719
164	5072	25670
165	5099	25620
166	5127	25577
167	5157	25543
168	5186	25505
169	5216	25470
170	5247	25437
171	5275	25397
172	5302	25347
173	5333	25319
174	5360	25268
175	5385	25214
176	5412	25165
177	5438	25116
178	5465	25070
179	5492	25023
180	5518	24972
181	5545	24925
182	5572	24877
183	5597	24824
184	5623	24774
185	5649	24723
186	5675	24676
187	5702	24631
188	5728	24581
189	5754	24533
190	5781	24488
191	5808	24442
192	5833	24392
193	5859	24344
194	5884	24290
195	5912	24252
196	5938	24205
197	5964	24159
198	5991	24116
199	6018	24074
200	6044	24029
201	6070	23983
202	6096	23934
203	6122	23887
204	6149	23847
205	6175	23802
206	6202	23760
207	6228	23716
208	6255	23675
209	6282	23632
210	6309	23591
211	6335	23547
212	6360	23501
213	6387	23458
214	6413	23416
215	6440	23375
216	6465	23329
217	6492	23287
